#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
2431 133.66 1 004030.6 +065502 10.96 11840 12208
2437 19.32 2 004035.0 -135222 8.51 1318 1322
2438 104.71 1 004035.6 -252631 0.00 7119 7253
2444 244.34 1 004041.9 -813359 0.00 13750 14245
2445 18.97 2 004044.1 -632626 0.00 1600 1607
2451 96.83 2 004048.9 -561251 9.96 8069 8241
2454 66.68 1 004055.1 -134631 11.24 8137 8311
2458 76.56 1 004103.7 +314358 10.19 4340 4390
2463 171.40 1 004105.9 -152541 0.00 16092 16768
2479 59.43 2 004127.9 +252958 9.34 4228 4276
2482 57.02 1 004133.9 -100117 8.88 3651 3686
2490 69.82 1 004139.8 -421916 0.00 5768 5856
2492 25.47 1 004145.5 -165142 0.00 1239 1243
2501 201.37 2 004150.4 -091810 10.25 16370 17071
2503 59.70 1 004148.5 -014419 0.00 5170 5241
2504 80.17 1 004151.7 +325928 0.00 4634 4691
2515 175.39 1 004153.3 -104958 0.00 15531 16162
2517 160.69 1 004204.6 +364817 10.30 10345 10626
2520 52.72 1 004207.8 +332422 0.00 5932 6025
2525 76.21 1 004214.8 -112817 0.00 5629 5712
2526 26.42 2 004214.7 -180942 12.48 1245 1249
2527 97.72 1 004215.9 +005043 10.49 5034 5101
2528 128.82 1 004216.6 -503033 0.00 8500 8690
2544 7.18 1 004232.3 +403418 0.00 -50 -50
2547 64.57 1 004236.8 -013144 0.00 5088 5157
2553 69.50 1 004239.7 +295231 0.00 4544 4599
2555 0.78 2 004241.8 +405154 5.08 -481 -481
2557 0.77 4 004244.4 +411608 0.80 -574 -573
2558 101.86 1 004247.6 -034945 0.00 5475 5554
2559 84.33 1 004245.7 -233340 10.00 6391 6499
2564 222.84 1 004308.4 -110740 0.00 10673 10972
2571 76.91 1 004253.5 +333121 11.59 5936 6029
2578 4.92 1 004303.6 -221451 12.50 63 63
2580 149.97 1 004324.1 -111522 0.00 10829 11137
2597 56.49 1 004327.8 -000730 10.35 3830 3869
2598 45.29 1 004328.5 -062055 0.00 5471 5550
2601 68.23 1 004333.4 -040704 0.00 5415 5492
2611 85.11 1 004344.9 -242517 0.00 6476 6587
2615 53.21 1 004351.9 +004806 0.00 5146 5216
2616 85.11 1 004354.3 -041443 12.13 6489 6600
2619 87.10 1 004359.7 -763527 0.00 10462 10750
2624 195.88 1 004359.6 -111821 0.00 10817 11125
2631 185.35 1 004420.0 -065938 0.00 15948 16613
2640 207.97 1 004432.1 -485052 0.00 15111 15709
2660 63.39 1 004509.1 -093754 0.00 5788 5877
2663 205.12 1 004521.3 -253712 0.00 7511 7659
2665 159.96 1 004524.0 -123210 0.00 8178 8354
2666 0.75 2 004540.0 +380219 9.60 -669 -668
2679 74.13 1 004551.6 -311159 11.68 5546 5628
2692 95.06 1 004606.2 -423147 0.00 7003 7132
2699 36.31 2 004613.2 +192923 0.00 2317 2331
2701 168.27 1 004616.9 -241645 12.44 10290 10568
2704 61.38 1 004619.4 +511302 11.07 5026 5093
2726 157.76 1 004638.7 +361952 11.45 10850 11159
2734 63.68 1 004643.0 -354752 0.00 6780 6901
2735 82.04 1 004648.9 -063152 0.00 5461 5540
