#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
2819 66.07 1 004801.4 +273728 9.15 4619 4675
2820 45.08 1 004803.3 -024631 9.43 3711 3748
2822 57.54 1 004805.1 -013357 0.00 5280 5354
2865 72.78 2 004902.1 +281304 10.82 4786 4846
2881 3.48 2 004921.1 -180431 13.90 -80 -80
2889 80.91 1 004935.7 +010655 10.38 4946 5011
2899 69.18 2 004945.8 +313604 0.00 4848 4910
2902 3.39 2 004949.7 -210046 13.30 -2 -2
2905 69.82 1 004952.2 +005746 11.54 4290 4339
2914 54.20 1 004958.3 +214306 0.00 4214 4261
2917 164.44 1 005000.9 -144057 0.00 15679 16322
2922 76.21 1 005002.8 +075506 0.00 5068 5136
2928 73.11 2 005009.8 +314352 0.00 4293 4342
2932 112.72 1 005020.8 -411436 11.19 6792 6914
2933 3.60 2 005024.6 -195423 14.00 -70 -70
2936 76.91 1 005027.5 -055130 0.00 5403 5480
2938 39.99 1 005032.5 -083906 0.00 3455 3486
2942 134.28 1 005034.2 -430350 0.00 6719 6839
2948 94.62 1 005041.9 -521312 0.00 7635 7788
2959 58.88 1 005048.4 -065308 0.00 4422 4474
2963 69.82 1 005050.4 -262924 0.00 5237 5309
2964 40.93 1 005050.7 +284203 0.00 4658 4715
2970 257.04 1 005053.6 -215358 12.47 18360 19240
2971 102.80 1 005052.7 -552925 0.00 6868 6992
2980 21.28 3 005101.9 -070325 9.40 1395 1400
3020 40.93 1 005134.5 +294259 0.00 4598 4653
3062 30.48 1 005217.2 -035801 0.00 1082 1085
3063 211.84 1 005218.2 -214950 12.40 17082 17844
3072 69.82 1 005227.9 +143105 0.00 5166 5236
3076 155.60 1 005230.3 +242103 10.58 9855 10110
3081 71.12 2 005235.1 +291226 0.00 4549 4604
3085 0.06 3 005238.0 -724800 0.20 107 107
3089 23.33 2 005242.3 -311220 8.08 1366 1371
3105 218.78 1 005255.9 -215029 0.00 16985 17738
3108 56.75 1 005258.3 +290156 11.19 4680 4738
3120 90.78 1 005309.3 +215536 0.00 6979 7108
3129 152.05 1 005318.8 -264752 0.00 10479 10768
3133 53.21 2 005326.7 +291612 10.17 4204 4250
3138 257.04 1 005328.7 -215440 0.00 17881 18715
3142 101.86 1 005330.3 -130646 0.00 10551 10844
3144 67.30 1 005332.1 -580625 12.20 5839 5929
3147 84.72 1 005332.4 +025522 0.00 4571 4627
3153 143.22 1 005336.4 -291429 0.00 10985 11302
3159 63.39 1 005343.4 -270259 11.08 5287 5361
3162 100.93 1 005346.9 -451116 12.12 7123 7257
3165 76.56 1 005349.0 -331742 0.00 5128 5197
3168 87.50 1 005352.5 -465821 0.00 8080 8252
3181 199.53 1 005359.8 -214037 0.00 17078 17839
3183 42.07 1 005403.9 +730505 0.00 4566 4621
3184 82.41 2 005404.9 +302044 0.00 6473 6584
3190 167.49 1 005413.8 -622719 11.14 10509 10800
3194 147.23 1 005412.2 -012542 0.00 12786 13215
3202 162.93 1 005423.8 -655141 0.00 11693 12053
3211 103.75 1 005433.0 -511531 12.28 7127 7262
3214 116.95 1 005436.7 -355106 0.00 13343 13810
3218 72.78 2 005441.9 +364553 0.00 5768 5856
3222 74.82 2 005447.0 +312156 0.00 4206 4253
3235 96.83 2 005450.3 +291447 10.39 4321 4371
3238 1.99 4 005453.5 -374104 7.06 -69 -69
3239 67.92 1 005449.2 +522848 0.00 4926 4990
3243 230.14 1 005458.9 -072059 0.00 14887 15467
3247 32.66 1 005459.0 +304819 0.00 4382 4433
3250 30.90 1 005502.4 -071959 0.00 1431 1436
3252 85.51 1 005502.9 -190019 10.34 6070 6167
3260 55.21 2 005507.6 +313231 9.22 5158 5228
3267 163.68 1 005516.9 -005505 0.00 12892 13328
3272 152.76 1 005518.8 -011636 10.84 13139 13591
3273 174.58 1 005513.6 -010433 12.39 13973 14485
3274 51.05 2 005521.6 +314036 0.00 5339 5415
3285 87.10 2 005532.7 +302353 0.00 6369 6477
3323 149.97 1 005603.9 -140338 0.00 11152 11479
3332 68.87 2 005609.3 +310426 0.00 4351 4401
3338 119.12 1 005615.0 -470352 0.00 8300 8481
3340 213.80 1 005610.7 -010701 0.00 12216 12608
3342 152.05 1 005616.1 -011519 10.11 13013 13457
3343 84.72 1 005615.9 -524658 0.00 7930 8096
3359 193.20 1 005623.6 -005913 0.00 12870 13305
3365 150.66 1 005625.6 -011544 10.64 11149 11476
3367 43.05 1 005632.6 -014619 0.00 3678 3714
3387 86.30 1 005647.3 -530551 0.00 7278 7417
3397 194.09 1 005701.4 +071945 0.00 11348 11686
3400 154.17 1 005656.9 -011242 0.00 14658 15220
3401 85.11 1 005659.0 -452442 12.03 7711 7868
3409 248.89 1 005705.2 +145430 0.00 14558 15113
3412 63.39 1 005710.0 -434338 0.00 6936 7063
3417 152.76 1 005717.0 -004010 11.75 13242 13702
3435 48.08 1 005735.1 -050009 11.98 5336 5412
3436 69.18 1 005737.6 -485410 0.00 7264 7403
3440 57.54 1 005741.9 +150404 0.00 5134 5204
3444 169.82 1 005734.9 -012331 10.86 13194 13651
3454 103.75 1 005747.9 -050643 11.69 5165 5235
3462 80.91 1 005755.4 -050749 10.46 5158 5228
3466 61.66 2 005801.2 +304218 0.00 4416 4467
3467 86.30 3 005801.6 -050416 10.39 4945 5009
3475 44.46 1 005810.9 -081301 0.00 4279 4328
3478 132.43 1 005820.6 -015613 0.00 12745 13172
3481 88.72 1 005819.8 -152331 0.00 5254 5327
3482 136.14 1 005822.6 +265158 10.38 13843 14345
3484 138.04 1 005822.3 -363936 11.60 10141 10411
3503 120.23 1 005835.2 +450018 0.00 4955 5020
3508 175.39 1 005844.9 +124454 11.60 11329 11666
3513 107.15 1 005851.1 +125822 10.05 11742 12104
3514 104.23 1 005849.8 -350658 11.02 8969 9181
3517 163.68 1 005856.1 -165207 0.00 10667 10967
3519 195.88 1 005851.3 -162809 0.00 15902 16564
3526 28.97 2 005858.0 -184433 10.30 1703 1711
3543 40.74 1 005918.3 -203444 0.00 1666 1674
3547 58.61 1 005923.7 -044812 0.00 5377 5454
3550 135.52 1 005924.4 +270333 10.87 13425 13897
3553 82.04 1 005926.2 -044740 0.00 5159 5230
3554 44.46 1 005929.4 -361111 0.00 3236 3263
3559 34.83 1 005936.2 +353337 0.00 2064 2075
3560 89.13 1 005937.4 -101957 0.00 6556 6670
3561 107.15 1 005936.0 +125910 11.37 11761 12124
3563 79.80 1 005940.1 +151951 10.62 5197 5269
3567 77.98 1 005946.6 -402001 0.00 6763 6884
3569 192.31 1 005948.7 +144324 0.00 11894 12266
3572 19.23 2 005950.1 -073441 9.26 1330 1334
3577 215.77 1 005959.1 -135944 0.00 15569 16203
3584 90.36 1 010004.1 -110458 0.00 5098 5166
3586 124.17 1 010009.2 -183736 11.27 5977 6071
3589 0.08 2 010009.3 -334232 5.90 -138 -138
3603 38.55 2 010028.1 +475942 10.29 2464 2480
3606 83.95 2 010032.5 +304749 10.85 4522 4577
3611 78.34 2 010036.5 +304007 9.31 4492 4546
3631 95.94 1 010049.9 -064621 0.00 5497 5577
3635 31.05 2 010055.4 +474055 9.58 2365 2380
3636 196.79 1 010100.6 +132806 11.59 11459 11804
3639 85.90 1 010052.0 +192833 0.00 5122 5192
3643 91.62 1 010102.6 +094329 0.00 5714 5800
3645 95.94 1 010106.2 -043619 0.00 8345 8529
3664 87.90 2 010121.2 +313027 11.01 5294 5368
3667 26.06 2 010125.1 +073733 0.00 1884 1893
3672 116.95 1 010135.0 -594429 0.00 8305 8487
3681 66.07 1 010142.6 -153404 0.00 5329 5404
3688 59.70 1 010146.1 +030454 0.00 4043 4087
3697 136.14 1 010205.4 +265707 10.61 14141 14665
3700 84.33 1 010210.2 +322706 10.78 3981 4023
3714 54.95 1 010224.5 -015731 10.69 3776 3814
3735 78.34 1 010248.3 -062443 11.28 5456 5535
3738 80.17 1 010248.2 -012825 0.00 5552 5634
3743 30.90 2 010251.4 -653635 9.15 2216 2230
3758 142.56 1 010312.9 -205944 0.00 12382 12784
3760 92.47 1 010314.4 -430040 0.00 6917 7043
3764 143.88 1 010318.1 +140216 11.58 11970 12346
3773 59.98 3 010326.4 +321414 10.53 4999 5065
3784 105.68 1 010350.4 +220139 0.00 5377 5453
3792 0.65 3 010354.8 +215323 12.50 -603 -602
3801 184.50 1 010402.6 -113832 0.00 14226 14756
3805 210.86 1 010356.3 -021544 11.62 15438 16061
3812 100.93 1 010407.1 -510759 10.67 7504 7653
3822 108.64 1 010418.7 -350717 11.18 9715 9964
3828 83.95 1 010429.7 -512737 12.20 7235 7373
3833 112.20 1 010440.9 -004810 0.00 4803 4864
3844 0.74 4 010447.8 +020703 7.50 -561 -560
3847 105.68 1 010459.9 -460433 0.00 8774 8977
3853 11.64 2 010504.9 -061244 9.94 777 779
3855 31.77 1 010508.6 -061645 0.00 2106 2117
3863 107.65 1 010516.9 -425452 0.00 8656 8854
3865 112.72 1 010518.9 -112130 0.00 13771 14268
3866 50.82 2 010519.0 +314055 11.11 5559 5641
3881 57.28 1 010534.2 +322546 11.21 4741 4801
3888 120.78 1 010538.0 -470418 11.62 5602 5685
3889 166.72 1 010542.1 +144403 0.00 11782 12147
3892 127.06 1 010548.4 -482354 0.00 13967 14478
3899 44.26 1 010556.0 +322443 11.44 4410 4461
3903 92.04 2 010609.6 +312420 0.00 5972 6067
3909 107.65 1 010614.7 -463003 0.00 8934 9144
3911 120.78 1 010615.8 -163234 0.00 10929 11243
3912 218.78 1 010610.1 +011359 0.00 14528 15080
3946 62.81 1 010658.2 +321830 11.65 5204 5276
3947 105.68 1 010659.1 -152955 0.00 11266 11599
3950 54.70 2 010703.6 +322322 0.00 4828 4890
3951 149.28 1 010704.9 -192229 0.00 15966 16633
3953 89.13 1 010705.9 +322053 11.54 5601 5684
3957 95.06 1 010710.5 -422330 12.12 7809 7970
3958 102.33 1 010711.1 -415500 0.00 6736 6856
3966 67.61 1 010715.8 +323112 9.44 5190 5261
3969 74.82 1 010717.5 +322856 9.36 4127 4172
3974 4.70 2 010722.4 +164102 11.60 -165 -165
3979 123.03 1 010732.9 -131617 0.00 15818 16472
3980 21.78 2 010724.6 -695238 10.17 1439 1445
3981 65.77 2 010723.8 +322413 0.00 4926 4991
3982 63.39 1 010724.9 +322445 8.57 4761 4820
3983 85.90 1 010725.0 +321732 10.09 3951 3993
3984 64.27 1 010727.2 +321911 10.06 4694 4753
3985 75.16 1 010730.3 -451050 0.00 7370 7513
3989 59.98 1 010731.3 +322143 11.32 5220 5293
3990 74.47 1 010732.7 +392400 10.98 5589 5672
3993 192.31 1 010736.0 -333816 11.31 9868 10124
4000 172.98 1 010741.7 +020710 0.00 12507 12918
4005 62.81 1 010747.1 +321836 11.48 5137 5206
4017 151.36 1 010756.0 +023245 11.42 9739 9989
4021 70.47 1 010812.9 +322712 0.00 4458 4511
4026 173.78 1 010814.6 +021037 0.00 13203 13660
4031 145.21 1 010813.1 -614707 0.00 12119 12504
4033 173.78 1 010812.0 +021137 11.36 12805 13235
4042 69.18 1 010823.4 +330801 9.65 4384 4435
4047 110.66 1 010825.3 -233020 0.00 7771 7930
4049 67.30 1 010826.0 +330853 10.62 4098 4142
4051 62.81 1 010831.1 +330633 0.00 4673 4731
4060 173.78 1 010838.0 +021608 10.75 12811 13241
4063 21.09 2 010836.9 +013830 0.00 1641 1648
4078 154.17 1 010845.4 -114855 0.00 13072 13520
4082 141.91 1 010849.7 -155655 0.00 12309 12707
4085 93.33 1 010851.8 -454957 10.60 7122 7256
4090 43.65 1 010853.6 +323051 11.35 4686 4744
4098 123.03 1 010900.0 -452053 12.25 9153 9374
4104 82.04 1 010904.5 -454624 9.86 7611 7764
4110 54.95 2 010914.0 +320904 11.23 4342 4392
4112 71.45 1 010913.5 +315846 11.13 4876 4939
4116 134.28 1 010922.0 +142032 10.71 11217 11547
4121 172.98 1 010918.1 +021216 11.21 12188 12578
4126 2.99 3 010927.0 +354304 7.64 -333 -333
4127 79.07 1 010922.3 -014145 0.00 3637 3673
4131 99.08 1 010932.1 -474727 0.00 7445 7591
4132 87.90 1 010933.2 -354820 0.00 6324 6430
4137 74.82 1 010939.1 -612000 0.00 7770 7929
4143 29.65 1 010941.5 -021600 0.00 1546 1553
4148 56.49 1 010956.1 +204616 0.00 4776 4837
4149 92.90 1 010955.6 -455552 8.51 7074 7207
4161 87.90 1 011005.7 -352926 11.02 6260 6364
4166 289.73 1 011002.2 -194404 0.00 14346 14885
4168 52.48 1 011010.4 +430630 11.17 4760 4820
4173 58.08 1 011019.4 -354410 12.08 3323 3353
4176 96.83 1 011021.4 +301101 0.00 6521 6634
4181 115.35 1 011027.7 -460427 10.79 6592 6707
4187 105.68 1 011034.1 -523324 0.00 7247 7386
4200 115.35 1 011041.4 -153112 0.00 8821 9026
4201 178.65 1 011037.9 -120208 0.00 13256 13717
4206 67.61 1 011044.4 +330153 0.00 4393 4444
4210 56.75 2 011044.3 +333330 11.44 5169 5240
4220 221.82 1 011058.0 -133912 0.00 15413 16034
4222 66.68 1 011053.7 -054917 10.01 5440 5519
4224 65.46 1 011058.9 +330908 8.47 4984 5049
4230 106.66 1 011106.2 +151020 0.00 11119 11444
4237 155.60 1 011105.6 -180854 0.00 12398 12802
4248 72.11 1 011112.5 -585020 0.00 4697 4756
4271 68.87 1 011127.6 -455615 10.88 8181 8358
4272 275.42 1 011121.5 -181638 0.00 12284 12680
4274 51.05 2 011127.7 -380500 9.18 3291 3320
4286 65.16 1 011143.6 +351634 0.00 4567 4623
4298 74.13 1 011150.9 -555126 10.97 5198 5270
4301 49.66 1 011151.2 +313333 0.00 4541 4595
4316 118.03 1 011209.4 -321433 0.00 9595 9838
4320 51.29 1 011209.7 +320723 9.69 4710 4769
4321 73.79 1 011210.5 +320013 0.00 4940 5004
4334 92.04 1 011219.2 -502406 10.62 7194 7330
4338 58.34 1 011221.8 +332152 10.74 4493 4547
4340 116.41 1 011226.7 -124632 0.00 13273 13735
4347 64.86 1 011231.5 -024736 12.19 5499 5579
4354 94.62 1 011237.8 -460410 0.00 7753 7911
4363 74.13 1 011248.6 -001724 10.05 4949 5014
4365 72.44 1 011249.9 -311202 11.92 5335 5410
4367 11.32 1 011255.6 +005854 9.85 836 838
4368 81.28 1 011257.4 -002042 0.00 5315 5390
4370 133.66 1 011259.5 +152928 10.82 12842 13275
4376 73.79 2 011259.9 -001509 9.75 4954 5019
4377 196.79 1 011304.7 -185949 0.00 14807 15381
4382 157.04 1 011307.4 -340055 11.92 10040 10305
4387 85.11 2 011312.5 +345757 0.00 4453 4505
4392 134.90 1 011315.7 +153059 11.04 13768 14264
4398 158.49 1 011324.5 +154657 0.00 11236 11568
4417 54.45 1 011342.1 +331305 11.22 5243 5315
4420 176.20 1 011346.3 +001820 0.00 12977 13419
4421 79.80 1 011345.5 -310348 0.00 5504 5584
4423 59.70 1 011347.3 -314450 0.00 5556 5637
4432 61.66 1 011358.0 -622357 0.00 4909 4973
4440 48.31 1 011407.0 -323903 9.52 3334 3364
4443 85.11 1 011404.1 -014432 11.70 4586 4642
4456 132.43 1 011414.5 +155352 10.97 10992 11309
4473 87.10 1 011426.3 +423322 11.45 5645 5729
4477 99.54 1 011429.7 -311053 11.08 5306 5381
4484 77.62 1 011438.6 -010114 0.00 5294 5368
4492 145.88 1 011456.3 +000750 0.00 12119 12505
4496 201.37 1 011454.2 +001811 11.70 12974 13416
4500 201.37 1 011457.6 +002550 10.67 13137 13590
4509 55.21 1 011503.7 +052233 0.00 4999 5065
4511 80.91 1 011502.6 +065129 0.00 5210 5282
4516 43.45 1 011509.8 +334726 0.00 4150 4196
4523 201.37 1 011515.8 +001249 11.71 13226 13684
4524 29.92 3 011516.5 -013735 9.40 1612 1619
4526 201.37 1 011516.8 +001108 0.00 13169 13623
4534 188.80 1 011521.4 +072121 0.00 11712 12072
4539 83.95 1 011529.8 +065303 0.00 5204 5275
4540 17.46 2 011530.4 -005139 11.03 1447 1452
4543 33.57 1 011532.7 -262648 0.00 3439 3470
4548 82.79 1 011536.9 -063554 0.00 5954 6048
4561 47.86 2 011549.6 +310448 0.00 4557 4612
4563 67.92 2 011551.9 +334838 0.00 3923 3963
4564 69.82 1 011552.5 -543317 0.00 5308 5382
4571 100.93 1 011551.6 -313523 0.00 10349 10630
4585 29.11 1 011600.6 +063813 0.00 2101 2113
4591 126.47 1 011605.6 -000054 0.00 13071 13520
4596 57.81 2 011614.9 +310201 9.64 4670 4728
4601 0.65 2 011629.4 +332517 10.80 -481 -480
4606 74.82 1 011630.4 -075837 0.00 5250 5323
4613 94.62 1 011645.3 -522603 0.00 8889 9097
4619 88.31 1 011659.1 +130129 10.55 5839 5929
4621 235.50 1 011704.9 -501703 0.00 14394 14936
4623 95.50 1 011703.5 -441050 0.00 6602 6717
4634 75.86 1 011715.6 -505552 11.66 4745 4804
4636 72.44 1 011720.5 -335027 0.00 5449 5527
4637 157.04 1 011723.8 -160345 0.00 13141 13594
4650 80.54 1 011737.4 +490035 0.00 5100 5169
4672 70.15 1 011808.9 +112254 10.87 4876 4939
4698 113.76 1 011840.2 +310209 0.00 6548 6661
4717 154.88 1 011853.6 -010007 0.00 13266 13727
4730 208.93 1 011907.0 -011553 0.00 13131 13583
4734 79.80 1 011904.4 -000819 0.00 4936 5000
4735 63.97 2 011910.1 +330149 0.00 5313 5388
4759 163.68 1 011933.3 -174136 0.00 12198 12588
4777 39.99 2 011944.8 +032435 9.00 2060 2072
4799 42.07 1 012005.0 -335400 0.00 3352 3382
4801 29.51 2 012006.7 +032455 8.80 2011 2021
4805 23.77 2 012006.8 -001219 0.00 1427 1432
4855 70.47 1 012046.3 +330241 10.96 4804 4865
4861 134.28 1 012053.4 +044805 0.00 9884 10141
4862 26.92 1 012055.4 +063429 0.00 2017 2028
4863 101.86 1 012054.9 -361923 0.00 9423 9657
4867 233.35 1 012055.6 -135007 0.00 14515 15067
4873 74.13 1 012102.4 +025736 0.00 5038 5105
4881 123.59 1 012104.9 -360704 10.49 9331 9560
4883 55.98 1 012105.6 +332244 11.27 4925 4989
4894 101.39 1 012107.3 -351206 12.10 5703 5789
4896 52.72 1 012108.0 +012223 10.87 4666 4723
4897 65.16 1 012109.3 +154141 0.00 4817 4878
4898 125.89 1 012110.6 +175207 0.00 8256 8436
4899 48.98 1 012112.5 -091240 0.00 5232 5304
4900 100.46 1 012113.4 -362821 0.00 5701 5786
4912 72.11 3 012117.8 -224802 9.90 5642 5726
4913 14.00 1 012119.1 +122442 0.00 329 330
4915 86.30 2 012120.3 +402917 10.66 5595 5678
4916 44.46 1 012121.3 +000525 0.00 3491 3523
4921 31.77 2 012127.6 +070105 11.03 1976 1986
4947 121.90 1 012149.9 +181603 11.39 8011 8180
4948 44.46 2 012147.8 +173532 9.41 2241 2254
4949 116.41 1 012149.2 -440327 10.70 6983 7112
4956 57.81 1 012151.2 +331656 11.08 4153 4199
4957 42.46 2 012153.9 +091223 9.60 2200 2213
4964 178.65 1 012158.6 -340839 12.11 9841 10096
4970 126.47 1 012151.5 -071846 0.00 7627 7780
4971 83.18 1 012201.6 +372404 0.00 4822 4883
4972 78.34 1 012202.4 -341148 11.05 5445 5524
4974 122.46 1 012207.1 -421633 0.00 9005 9218
4979 22.28 2 012209.1 +005644 10.26 2031 2042
4980 87.90 1 012209.2 -095319 0.00 12518 12929
4988 44.06 1 012217.4 +284755 0.00 3909 3950
4992 100.46 4 012223.8 -005231 9.90 7832 7994
4999 73.11 1 012232.1 -022436 0.00 4970 5035
5001 78.70 1 012235.4 -003412 0.00 7382 7526
5019 54.45 1 012246.9 -012332 0.00 5327 5402
5027 113.76 1 012252.6 -423354 0.00 6799 6921
5037 66.37 1 012256.2 +332813 10.09 3821 3859
5050 178.65 1 012315.8 -090141 0.00 14580 15137
5051 92.47 1 012306.8 -344404 0.00 9341 9571
5055 108.14 1 012312.4 -003828 0.00 7960 8127
5060 54.45 1 012311.5 +332737 8.81 4077 4121
5061 53.95 2 012311.5 +333143 11.14 5732 5819
5066 85.51 1 012314.9 -325029 10.85 9099 9318
5067 33.88 1 012314.5 -004203 0.00 1686 1694
5070 111.69 1 012317.0 -005421 11.73 7458 7605
5072 19.68 1 012319.4 +074742 0.00 2383 2398
5079 126.47 1 012326.4 +014221 10.94 9952 10213
5082 80.54 1 012322.4 +332558 11.21 4727 4786
5084 64.86 1 012327.9 +331214 10.15 3956 3998
5087 75.86 1 012330.0 -564114 0.00 5249 5322
5088 118.58 1 012337.8 +343409 0.00 6700 6818
5097 82.04 2 012340.7 -014948 11.69 5294 5369
5098 64.57 1 012339.9 +331521 8.45 4651 4708
5099 82.41 1 012340.7 +331651 9.80 5211 5283
5112 95.94 1 012351.2 -274718 0.00 5563 5645
5117 193.20 1 012359.0 -093354 0.00 12909 13346
5132 89.54 2 012359.7 +335428 9.80 4577 4633
5139 25.35 2 012403.9 +125502 9.64 2161 2173
5145 58.34 1 012407.5 -015137 0.00 4841 4903
5147 35.81 2 012408.5 +095550 0.00 2110 2122
5158 153.46 1 012417.0 -372007 11.17 10102 10371
5164 66.99 1 012419.4 -014443 0.00 4975 5040
5181 74.82 1 012430.0 +154601 0.00 4739 4798
5182 72.11 1 012428.6 -013829 0.00 5133 5203
5186 73.45 1 012430.8 -153216 0.00 5572 5654
5191 107.65 1 012434.5 -331025 10.62 9031 9245
5192 114.82 1 012436.4 +020239 10.74 9242 9467
5194 32.96 2 012434.2 +163213 0.00 2138 2150
5198 51.76 2 012435.1 +074316 0.00 2428 2444
5199 161.44 1 012438.6 +083035 11.36 14966 15553
5212 161.44 1 012443.6 +084635 0.00 15196 15801
5214 62.52 1 012443.9 +332547 9.88 3919 3960
5215 75.86 1 012444.6 -380744 0.00 5615 5699
5218 35.65 2 012445.8 +095939 9.36 2409 2424
5221 52.48 1 012447.7 +013626 10.84 4576 4631
5222 23.99 1 012447.7 +093219 7.21 2112 2123
5226 160.69 1 012449.7 +321404 0.00 10276 10554
5231 65.46 2 012452.4 -013701 10.62 5550 5632
5235 127.06 1 012458.8 +013323 0.00 8886 9094
5245 160.69 1 012507.6 +084157 10.41 14510 15061
5254 107.15 3 012512.7 -354859 11.32 10342 10623
5255 81.66 1 012512.8 -380408 10.80 6288 6392
5260 55.46 1 012515.6 +342133 0.00 4610 4667
5262 186.21 1 012516.2 -115450 0.00 14737 15306
5264 32.21 2 012517.3 +091550 8.93 2059 2070
5268 59.43 1 012520.8 +340130 9.77 4475 4528
5270 147.91 1 012523.7 +143111 10.77 10783 11089
5273 40.55 1 012529.6 +073341 0.00 2479 2495
5278 82.41 1 012528.5 -381602 10.30 5965 6060
5283 52.72 1 012531.4 +014532 8.69 5212 5284
5284 56.23 2 012531.5 +320809 10.04 4385 4435
5287 68.87 1 012532.4 -381701 0.00 5892 5983
5289 52.48 1 012532.0 -013009 10.94 6285 6389
5290 72.44 1 012533.6 +334017 9.64 4470 4523
5299 52.48 1 012540.3 +344246 9.21 4517 4571
5303 225.94 1 012536.6 -074424 0.00 12236 12630
5305 66.37 1 012544.3 -012246 9.47 5078 5146
5306 60.26 1 012548.1 -012932 0.00 4858 4920
5307 62.52 1 012544.3 -012724 10.89 4945 5010
5311 99.54 1 012550.0 -011734 10.83 4929 4993
5313 63.97 1 012547.7 -012040 11.51 5230 5302
5323 66.99 1 012559.2 -012024 0.00 5033 5100
5324 72.44 1 012600.6 -012042 8.48 5221 5293
5326 84.72 1 012602.5 -011332 11.29 5112 5181
5329 24.77 1 012557.9 -035854 0.00 1691 1698
5331 210.86 1 012606.7 -132512 0.00 13923 14431
5341 23.55 2 012614.5 -060538 10.62 1659 1666
5344 64.57 2 012621.8 +344210 9.34 4905 4969
5351 62.52 1 012625.2 -013820 0.00 5246 5318
5352 126.47 1 012626.2 -372726 0.00 9155 9376
5375 20.89 2 012642.3 -251853 0.00 1346 1351
5377 65.16 1 012644.8 -033005 0.00 5486 5565
5382 48.53 1 012644.0 +171552 0.00 2283 2297
5391 141.91 1 012649.9 -082927 0.00 14608 15166
5396 63.10 1 012654.5 -363321 12.31 5692 5778
5401 87.50 1 012702.2 +335719 0.00 3861 3900
5402 103.28 1 012702.4 -101555 0.00 6703 6821
5404 72.78 1 012705.4 -355121 0.00 5807 5896
5407 187.07 1 012708.4 -031311 0.00 13669 14159
5411 84.33 1 012709.5 +144634 11.34 6138 6237
5414 124.74 1 012709.9 -202415 0.00 9794 10046
5422 67.30 1 012713.6 -214626 0.00 5297 5371
5423 143.22 1 012721.2 +115832 11.02 9132 9352
5424 79.80 2 012716.2 -011619 10.84 4451 4504
5425 74.13 1 012716.2 -015815 0.00 4645 4702
5430 49.66 2 012725.4 -015447 9.83 5146 5216
5436 44.06 1 012735.9 -010618 10.93 4143 4189
5437 244.34 1 012733.4 -044059 0.00 14096 14617
5439 173.78 1 012734.4 -043907 0.00 14655 15217
5440 54.45 2 012734.9 +313316 10.84 3774 3812
5446 187.93 1 012736.0 -045951 0.00 13809 14309
5447 57.54 1 012737.8 -213835 12.46 5198 5269
5450 62.52 2 012740.6 +371058 10.31 4917 4981
5455 76.56 2 012748.2 -015246 9.74 5528 5609
5466 152.76 1 012801.4 -165126 0.00 13629 14116
5468 82.41 1 012757.0 -354304 0.00 5456 5535
5473 72.44 1 012800.9 +320158 0.00 6124 6223
5474 73.11 2 012802.1 -004418 11.67 5395 5472
5481 49.20 1 012810.2 -011822 0.00 4224 4271
5484 67.92 1 012813.0 -015455 0.00 4505 4558
5515 110.15 1 012844.6 -232438 0.00 12489 12899
5518 72.11 1 012848.7 +342044 0.00 2383 2398
5525 149.28 1 012852.0 -195758 0.00 9833 10088
5527 83.18 1 012853.3 +134736 11.35 6038 6134
5534 83.18 1 012855.8 -014909 0.00 4468 4521
5539 57.54 1 012858.6 -005656 0.00 5238 5311
5540 52.97 1 012859.6 -003343 0.00 5173 5244
5544 66.37 1 012903.1 -353556 10.75 5499 5579
5552 131.22 1 012913.3 +334005 0.00 6328 6434
5555 56.75 1 012911.1 +110826 0.00 5490 5569
5563 64.27 2 012920.8 +320352 0.00 4791 4852
5574 80.17 1 012944.0 -011429 0.00 4906 4970
5577 73.11 3 012947.9 -015901 11.35 5595 5678
5578 83.56 1 012946.2 +320116 0.00 6055 6151
5579 54.95 1 012947.1 +453555 10.14 4977 5043
5589 20.99 1 012959.8 +405825 0.00 2551 2569
5597 107.15 1 013005.4 -424110 10.71 6536 6648
5611 187.93 1 013019.9 +170117 11.17 12618 13036
5619 18.79 2 013028.5 -224001 9.00 1366 1371
5626 183.65 1 013042.6 -162751 0.00 13751 14247
5631 39.08 1 013043.8 -510830 11.97 3485 3517
5635 89.54 1 013047.1 -233517 0.00 5531 5611
5643 46.99 2 013055.3 +171118 9.55 2507 2523
5645 67.92 1 013058.2 +140629 11.26 4226 4273
5657 85.51 1 013114.0 -265134 0.00 5479 5558
5663 20.04 1 013120.7 -065205 7.43 1553 1560
5673 58.88 2 013126.6 +141638 11.51 4181 4227
5677 87.50 1 013134.6 -413152 0.00 6139 6238
5690 108.14 1 013139.1 -422159 0.00 6466 6577
